Item,ID,Name,Type,SKU,Options,"Inventory Tracking","Current Stock","Low Stock",Price,"Cost Price","Retail Price","Sale Price","Brand ID",Channels,Categories,Description,"Custom Fields","Page Title","Product URL","Meta Description","Search Keywords","Meta Keywords","Bin Picking Number",UPC/EAN,"Global Trade Number","Manufacturer Part Number","Free Shipping","Fixed Shipping Cost",Weight,Width,Height,Depth,"Is Visible","Is Featured",Warranty,"Tax Class","Product Condition","Show Product Condition","Sort Order","Variant Image URL","Internal Image URL (Export)","Image URL (Import)","Image Description","Image is Thumbnail","Image Sort Order","YouTube ID","Video Title","Video Description","Video Sort Order"
Variant,341,,,"MUT MUTANT WHEY 5 LBS CHOCOLATE FUDGE","Type=Radio|Name=Sabor|Value=CHOCOLATE FUDGE BROWNIE",,0,0,999.00,0.00,,889.00,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/7_source_1687198352.png,,,,,,,,,
Image,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/364/images/378/MUT_WHEY_5LBS__26436.1687198348.386.513.png?c=1,,,TRUE,0,,,,
Product,365,"BIRDMAN CREATINA MONOHIDRATADA 450 G",physical,CRE_BIRDMAN_450g,,none,0,0,556.50,0.00,0.00,0.00,39,1,112;114,"<p><strong>Caracter&iacute;sticas:</strong></p> <ol> <li> <p><strong>Origen Natural:</strong> La creatina se produce naturalmente en el h&iacute;gado, los ri&ntilde;ones y el p&aacute;ncreas. Es un pilar para mantener los niveles de energ&iacute;a durante el ejercicio de alta intensidad [1].</p> </li> <li> <p><strong>Optimizaci&oacute;n del ATP:</strong> Cuando realizas ejercicios de alta intensidad, tus reservas de ATP se agotan r&aacute;pidamente. La creatina acelera la conversi&oacute;n de ADP (adenos&iacute;n difosfato) a ATP, permitiendo una recuperaci&oacute;n energ&eacute;tica m&aacute;s r&aacute;pida y sostenida durante el ejercicio [2].</p> </li> <li> <p><strong>Mejora del Rendimiento:</strong> Estudios han demostrado que la suplementaci&oacute;n con creatina puede aumentar significativamente la fuerza muscular, la potencia y la velocidad, lo cual es especialmente &uacute;til en deportes que requieren r&aacute;fagas cortas de actividad de alta energ&iacute;a [3].</p> </li> <li> <p><strong>Recuperaci&oacute;n Acelerada:</strong> La creatina tambi&eacute;n ayuda en la recuperaci&oacute;n muscular al reducir el da&ntilde;o celular y la inflamaci&oacute;n despu&eacute;s de un ejercicio extenuante [4].</p> </li> <li> <p><strong>Id&oacute;neo para Atletas:</strong> Creatina Birdman es la elecci&oacute;n perfecta para atletas y entusiastas del fitness que buscan mejorar su rendimiento y acelerar los tiempos de recuperaci&oacute;n.</p> </li> </ol> <hr /> <h4>Referencias Cient&iacute;ficas:</h4> <p>[1] ""The Role of Creatine in Exercise and Athletic Performance,"" Journal of Sports Sciences, 2018. [2] ""Creatine and its Application as an Ergogenic Aid,"" International Journal of Sports Nutrition, 2010. [3] ""Effects of Creatine Supplementation on Performance and Recovery,"" Journal of Strength and Conditioning Research, 2011. [4] ""Creatine Supplementation and Exercise Recovery,"" Sports Medicine, 2012.</p>",,"BIRDMAN CREATINA MONOHIDRATADA 450 G",/birdman-creatina-monohidratada-450-g/,,"Creatina,birdman",,,,,,FALSE,0.00,0.45,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/365/images/379/CRE_BIRDMAN_450G__07320.1687200567.386.513.jpg?c=1,,,TRUE,0,,,,
Product,366,"NUTREX CREATINA DRIVE BLACK 1000 GRS",physical,CRE_NUTREX_1000G,,none,0,0,1260.00,781.00,0.00,900.00,40,1,112;114,"<h2>Nutrex Creatine Drive Black 1000g</h2>
<p>Nutrex Creatine Drive Black es un suplemento deportivo a base de creatina monohidratada que favorece el aumento de la fuerza y la masa muscular. Est&aacute; especialmente indicado para deportistas de fuerza y resistencia.</p>
<p>La creatina es un amino&aacute;cido que se encuentra naturalmente en el cuerpo humano y que se utiliza como fuente de energ&iacute;a para los m&uacute;sculos. La suplementaci&oacute;n con creatina puede aumentar los niveles de creatina muscular, lo que se traduce en un aumento de la fuerza y la masa muscular.</p>
<p>Nutrex Creatine Drive Black es un producto de alta calidad, fabricado con ingredientes de primera calidad. Est&aacute; libre de gluten, lactosa y az&uacute;cares a&ntilde;adidos.</p>
<p>Se recomienda tomar 5 gramos de creatina al d&iacute;a, repartidos en 2 o 3 tomas. Se puede tomar con o sin alimentos.</p>
<p>Nutrex Creatine Drive Black es un suplemento deportivo eficaz y seguro que puede ayudarte a mejorar tu rendimiento deportivo.</p>
<p><strong>Ingredientes</strong></p>
<ul>
<li>Creatina monohidratada</li>
<li>Aspartamo</li>
<li>Ciclamato de sodio</li>
</ul>
<p><strong>Uso recomendado</strong></p>
<ul>
<li>Tomar 5 gramos de creatina al d&iacute;a, repartidos en 2 o 3 tomas.</li>
<li>Se puede tomar con o sin alimentos.</li>
</ul>
<p><strong>Advertencias</strong></p>
<ul>
<li>No superar la dosis diaria recomendada.</li>
<li>Mantener fuera del alcance de los ni&ntilde;os.</li>
<li>Si est&aacute; embarazada o en periodo de lactancia, consulte a su m&eacute;dico antes de tomar este producto.</li>
</ul>
<p><strong>Presentaci&oacute;n</strong></p>
<p>Envase de 1000 gramos.</p>",,"NUTREX CREATINA DRIVE BLACK 1000 GRS",/nutrex-creatina-drive-black-1000-grs/,,"Creatina,NUTREX",,,,,,FALSE,0.00,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/366/images/380/NUTREX_CRA_1000G__61140.1687202365.386.513.PNG?c=1,,,TRUE,0,,,,
Product,367,"C4 ORIGINAL (60 SERVICIOS)",physical,"CELLUCOR C4 ORIGINAL 60 SERV",,none,0,0,620.00,0.00,0.00,0.00,41,1,113;114,"<h3>C4 Pre-Entrenamiento en Polvo para Hombres y Mujeres: Desbloquea Tu M&aacute;ximo Potencial Atl&eacute;tico</h3>
<h4>Caracter&iacute;sticas Principales:</h4>
<ul>
<li><strong>Confiabilidad de la Marca:</strong> Como la marca de pre-entrenamiento m&aacute;s vendida en Estados Unidos, C4 ha establecido una reputaci&oacute;n de confianza y eficacia desde 2011.</li>
<li><strong>Potencia y Construcci&oacute;n Muscular:</strong> Formulado con un compuesto especial de creatina para impulsar tanto tu fuerza como tu rendimiento en el gimnasio.</li>
<li><strong>Resistencia Mejorada:</strong> Gracias a la incorporaci&oacute;n de CarnoSyn Beta-Alanina, un tipo de beta-alanina de alta calidad y respaldo cient&iacute;fico.</li>
<li><strong>Tolerancia a la Cafe&iacute;na:</strong> Contiene un compuesto patentado que ayuda a prolongar la acumulaci&oacute;n de tolerancia a la cafe&iacute;na, manteniendo su eficacia durante m&aacute;s tiempo.</li>
</ul>
<hr />
<h4>Detalles Cient&iacute;ficos:</h4>
<ol>
<li>
<p><strong>Compuesto de Creatina:</strong> La creatina es fundamental para la regeneraci&oacute;n r&aacute;pida de ATP, permitiendo una mayor resistencia y fuerza durante el ejercicio anaer&oacute;bico [1].</p>
</li>
<li>
<p><strong>CarnoSyn Beta-Alanina:</strong> Esta forma premium de beta-alanina ha sido estudiada por su capacidad para aumentar los niveles de carnosina en los m&uacute;sculos, lo que a su vez mejora la resistencia y reduce la fatiga [2].</p>
</li>
<li>
<p><strong>Manejo de la Tolerancia a la Cafe&iacute;na:</strong> El compuesto patentado presente en la f&oacute;rmula ayuda a mantener la sensibilidad a la cafe&iacute;na, permiti&eacute;ndote obtener un impulso constante de energ&iacute;a a lo largo del tiempo [3].</p>
</li>
<li>
<p><strong>Flexibilidad de Uso:</strong> Adecuado tanto para principiantes como para atletas avanzados, y formulado para ser eficiente.</p>
</li>
</ol>
<hr />
<h4>Referencias Cient&iacute;ficas:</h4>
<p>[1] ""Efectos de la Suplementaci&oacute;n de Creatina en el Rendimiento y las Adaptaciones del Entrenamiento,"" Bioqu&iacute;mica Molecular y Celular, 2003. [2] ""Beta-Alanina: Usos y Riesgos,"" Revista de Ciencias del Deporte, 2012. [3] ""Efectos de la Tolerancia a la Cafe&iacute;na en el Rendimiento Humano,"" Journal of Clinical Pharmacology, 2017.</p>",,"CELLUCOR C4 ORIGINAL (60 SERVICIOS)",/cellucor-c4-original-60-servicios/,,,,,,,,FALSE,0.00,0.39,0.00,0.00,0.00,TRUE,TRUE,,0,New,FALSE,0,,,,,,,,,,
Variant,345,,,C4_ORI_60S-OR,"Type=Radio|Name=Sabor|Value=ORANGE BURST",,0,0,620.00,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/10_source_1687204312.png,,,,,,,,,
Variant,346,,,C4_ORI_60S-SO,"Type=Radio|Name=Sabor|Value=SOUR BATCH",,0,0,620.00,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/9_source_1687204312.png,,,,,,,,,
Variant,347,,,C4_ORI_60S-ST,"Type=Radio|Name=Sabor|Value=STRAWBERRY MARGARITA",,0,0,620.00,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/8_source_1687204312.png,,,,,,,,,
Image,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/367/images/381/c4_60__05345.1687204310.386.513.PNG?c=1,,,TRUE,0,,,,
Product,480,"ADV OMEGA 3 60 CAPS",physical,"ADV OMEGA 3 60 CAPS",,none,0,0,274.37,196.00,0.00,0.00,,1,114,"If you are looking for an omega-3 supplement that will give you an extra edge, then you need to try Omega 3 reloaded. This powerful supplement provides you with a boost of omega-3s that will help you feel more energetic and focused. Omega 3 power is perfect for anyone",,,/adv-omega-3-60-caps/,,,,,,,,FALSE,0.00,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Image,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/480/images/389/Screen_Shot_2023-07-09_at_21.26.56__89850.1688959708.386.513.png?c=1,,,TRUE,0,,,,
Product,728,"BIRDMAN BCAA Y GLUTAMINA 405 GRS",physical,"BIRDMAN BCAA Y GLUTAMINA 405 GRS",,none,0,0,610.00,523.00,0.00,0.00,39,1,114,"<h2>BCAAs y Glutamina BIRDMAN&nbsp;</h2>
<p>Los BCAAs son amino&aacute;cidos esenciales que no puede sintetizar el cuerpo humano, por lo tanto es necesario incorporarlos a trav&eacute;s de la dieta. Estos amino&aacute;cidos se encuentran en mayor cantidad en las prote&iacute;nas de origen animal, como la carne, el pescado o los huevos.</p>
<p>La glutamina es el amino&aacute;cido m&aacute;s abundante en el tejido muscular. Es fundamental para la recuperaci&oacute;n muscular, el crecimiento y la s&iacute;ntesis de prote&iacute;nas.</p>
<p>La combinaci&oacute;n de BCAAs y glutamina es ideal para deportistas de resistencia, ya que ayuda a reducir el da&ntilde;o muscular y a acelerar la recuperaci&oacute;n. Tambi&eacute;n es beneficiosa para deportistas de fuerza, ya que contribuye al crecimiento y la s&iacute;ntesis de prote&iacute;nas.</p>
<p>Los BCAAs y la glutamina de BIRDMAN son de alta calidad y est&aacute;n libres de az&uacute;cares y aditivos. Son ideales para deportistas que buscan mejorar su rendimiento y su recuperaci&oacute;n.</p>
<h3>Ingredientes y beneficios</h3>
<p>Los BCAAs y la glutamina de BIRDMAN contienen los siguientes ingredientes:</p>
<ul>
<li>L-leucina</li>
<li>L-isoleucina</li>
<li>L-valina</li>
<li>Glutamina</li>
</ul>
<p>Los beneficios de los BCAAs y la glutamina incluyen:</p>
<ul>
<li>Reducen el da&ntilde;o muscular</li>
<li>Acelera la recuperaci&oacute;n</li>
<li>Favorecen el crecimiento y la s&iacute;ntesis de prote&iacute;nas</li>
<li>Mejoran el rendimiento deportivo</li>
</ul>
<p>Los BCAAs y la glutamina de BIRDMAN son un suplemento ideal para deportistas de resistencia y fuerza que buscan mejorar su rendimiento y su recuperaci&oacute;n.</p>",,,/birdman-bcaa-y-glutamina-405-grs/,,,,,,,,FALSE,0.00,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Variant,3369,,,728-FR,Type=Dropdown|Name=Sabor|Value=Fresa,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/15_source_1692240812.png,,,,,,,,,
Variant,3370,,,728-MO,"Type=Dropdown|Name=Sabor|Value=Mora limon",,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/16_source_1692241052.png,,,,,,,,,
Image,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/728/images/390/BIRDMAN_BCAA_Y_GLUTAMINA_405_GRS_MORA_LIMON__96978.1692241051.386.513.png?c=1,,,TRUE,0,,,,
Product,732,"BIRDMAN FALCON 1.17 KG",physical,,,none,0,0,1162.04,830.00,0.00,0.00,39,1,28;114,"<h3>Falcon Protein: Nutrici&oacute;n Completa para Atletas Exigentes</h3>
<h4>Caracter&iacute;sticas Principales:</h4>
<ul>
<li><strong>F&oacute;rmula Org&aacute;nica de M&uacute;ltiples Fuentes:</strong> Combina prote&iacute;nas de arroz, ch&iacute;charo, quinoa, semilla de calabaza, semilla de ar&aacute;ndano y sacha inchi para un perfil completo de amino&aacute;cidos.</li>
<li><strong>Enriquecido con Enzimas y Probi&oacute;ticos:</strong> Contiene enzimas digestivas y probi&oacute;ticos para mejorar la digesti&oacute;n y la salud intestinal.</li>
<li><strong>Sabor &Uacute;nico a Chai:</strong> Endulzado con stevia org&aacute;nica y realzado con sabor chai para una experiencia gustativa &uacute;nica.</li>
<li><strong>Rico en Minerales Traza:</strong> Incluye alga Lithothamnium Calcareum como fuente natural de minerales traza.</li>
</ul>
<hr />
<h4>Detalles Cient&iacute;ficos:</h4>
<ol>
<li>
<p><strong>Prote&iacute;nas de M&uacute;ltiples Fuentes:</strong> La combinaci&oacute;n de diferentes fuentes de prote&iacute;nas asegura un perfil completo de amino&aacute;cidos esenciales, lo que es crucial para la recuperaci&oacute;n muscular y el desarrollo [1].</p>
</li>
<li>
<p><strong>Amaranto y Quinoa:</strong> Estos pseudocereales son ricos en prote&iacute;nas y otros nutrientes esenciales, ofreciendo beneficios adicionales para la salud y el rendimiento [2].</p>
</li>
<li>
<p><strong>Enzimas Digestivas:</strong> La presencia de papaina, bromelina y proteasa f&uacute;ngica facilita la digesti&oacute;n de las prote&iacute;nas, permitiendo una mejor absorci&oacute;n y utilizaci&oacute;n de los amino&aacute;cidos [3].</p>
</li>
<li>
<p><strong>Probi&oacute;ticos:</strong> El Bacillus Coagulans incluido en la f&oacute;rmula ayuda a mantener un equilibrio saludable de la flora intestinal, lo que es beneficioso para la digesti&oacute;n y la absorci&oacute;n de nutrientes [4].</p>
</li>
<li>
<p><strong>Minerales Traza:</strong> El alga Lithothamnium Calcareum es una fuente rica de minerales traza que son esenciales para numerosas funciones biol&oacute;gicas, incluida la salud &oacute;sea [5].</p>
</li>
</ol>
<hr />
<h4>Referencias Cient&iacute;ficas:</h4>
<p>[1] ""Plant Proteins: Assessing Their Nutritional Quality and Effects on Health and Physical Function,"" Nutrients, 2020. [2] ""Nutritional and Functional Potential of Quinoa and Amaranth,"" Journal of Food Science and Technology, 2018. [3] ""Enzyme-Assisted Protein Hydrolysis: Applications and Approaches,"" Food Research International, 2017. [4] ""Probiotics and Athlete's Performance: A Systematic Review,"" Sports Medicine, 2019. [5] ""Trace Elements in Human Nutrition: A Review,"" International Journal of Environmental Research and Public Health, 2020.</p>",id=10|TIPO=VEGANA,"Falcon Protein Vainilla 1.17 kg",/birdman-falcon-1-17-kg/,"Falcon Protein Vainilla 1.17 kg",,,,,,,FALSE,0.00,1.00,0.00,0.00,0.00,TRUE,FALSE,,0,New,FALSE,0,,,,,,,,,,
Variant,3371,,,732-CH,Type=Dropdown|Name=Sabor|Value=Chai,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/21_source_1692242317.png,,,,,,,,,
Variant,3372,,,732-CH-1,Type=Dropdown|Name=Sabor|Value=Chocolate,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/18_source_1692242317.png,,,,,,,,,
Variant,3373,,,732-FR,Type=Dropdown|Name=Sabor|Value=Fresa,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/20_source_1692242317.png,,,,,,,,,
Variant,3374,,,732-NA,Type=Dropdown|Name=Sabor|Value=Natural,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/17_source_1692242317.png,,,,,,,,,
Variant,3375,,,732-VA,Type=Dropdown|Name=Sabor|Value=Vainilla,,0,0,,0.00,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/product_images/attribute_rule_images/19_source_1692242317.png,,,,,,,,,
Image,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn11.bigcommerce.com/s-h7smree6i/products/732/images/391/BIRDMAN_FALCON_1.17_KG_NATURAL__21536.1692242316.386.513.png?c=1,,,FALSE,4,,,,
